Agent Name	month	Q	year	Daily Avg Purchase	Daily Avg Net Purchase	Monthly Players w purchase	#Reactivations	#Players Upgraded to Elite	% Active From Portfolio	ARPPU (avg purchase per paying player)
coral_s	4	2	2026	32,000.00	18,000.00	306.00	67.00	67.00	85%	
coral_s	5	2	2026	35,000.00	20,000.00	324.00	68.00	80.00	85%	
coral_s	6	2	2026	36,000.00	21,000.00	343.00	70.00	80.00	85%	
lee_t	4	2	2026	50,000.00	32,000.00	347	76	76	85%	
lee_t	5	2	2026	53,000.00	35,000.00	368	78	91	85%	
lee_t	6	2	2026	56,000.00	38,000.00	390	79	91	85%	
rachel_a	4	2	2026	40,000.00	28,000.00	257	56	56	85%	
rachel_a	5	2	2026	43,000.00	31,000.00	272	57	67	85%	
rachel_a	6	2	2026	45,000.00	33,000.00	288	58	67	85%	
coral_s	7	3	2026	49,000.00	28,000.00	509.00	49.00	49.00	95%	2952
coral_s	8	3	2026	51,000.00	30,000.00	546.00	53.00	49.00	96%	2900
coral_s	9	3	2026	53,000.00	31,000.00	560.00	58.00	49.00	96%	2900
lee_t	7	3	2026	49,000.00	28,000.00	509.00	49.00	49.00	95%	2952
lee_t	8	3	2026	51,000.00	30,000.00	546.00	53.00	49.00	96%	2900
lee_t	9	3	2026	53,000.00	31,000.00	560.00	58.00	49.00	96%	2900
rachel_a	7	3	2026	49,000.00	28,000.00	509.00	49.00	49.00	95%	2952
rachel_a	8	3	2026	51,000.00	30,000.00	546.00	53.00	49.00	96%	2900
rachel_a	9	3	2026	53,000.00	31,000.00	560.00	58.00	49.00	96%	2900
gabriel_e	7	3	2026	49,000.00	28,000.00	509.00	49.00	49.00	95%	2952
gabriel_e	8	3	2026	51,000.00	30,000.00	546.00	53.00	49.00	96%	2900
gabriel_e	9	3	2026	53,000.00	31,000.00	560.00	58.00	49.00	96%	2900
